station,school,distance_m,school_lat,school_lon,授業開始日,情報源URL
大宮,京都産業大学 附属中学校・高等学校,708.2,34.9981882,135.7445798,,
大正,大阪市立大正東中学校,382.5,34.6621954,135.4782674,,
大正,大阪市立西中学校,652.3,34.671479,135.4784006,,
大阪ビジネスパーク,大阪市立東高等学校,769.2,34.6992827,135.5284974,,
大阪ビジネスパーク,追手門学院大手前高等学校,796.1,34.6898467,135.5213483,,
大阪港,大阪市立築港中学校,378.6,34.6529855,135.438391,,
天下茶屋,大阪市立天下茶屋中学校,306.4,34.6383968,135.493669,,
天下茶屋,大阪市立成南中学校,744.2,34.6334507,135.489884,,
天下茶屋,大阪市立松虫中学校,790.1,34.6349569,135.5048711,,
天満橋,大阪つくば開成高等学校,226.3,34.6923596,135.5163405,,
天満橋,大阪府立中央高等学校,227.1,34.6882849,135.5163635,,
天満橋,大阪つくば開成高等学校,256.9,34.6926361,135.5163905,,
天満橋,大阪府立中央高等学校,292.4,34.6876976,135.5163273,,
天満橋,大阪府立大手前高等学校,401.2,34.687568,135.5192701,,
天満橋,追手門学院大手前中学校,415.5,34.6894746,135.5208662,,
天満橋,追手門学院大手前高等学校,451.8,34.6898467,135.5213483,,
天王寺,YMCA学院高等学校,234,34.647901,135.5177079,,
天王寺,大阪市立天王寺中学校,356.6,34.6499496,135.5175117,,
天王寺,大阪教育大学 附属天王寺中学校,508.4,34.6468869,135.5207709,,
天王寺,大阪教育大学附属高等学校天王寺校舎,530.9,34.6470932,135.5210364,,
天王寺,私立クラーク記念国際高等学校大阪分室,775.8,34.650637,135.522717,,
天王寺,四天王寺高等学校・中学校,787.5,34.654419,135.5148706,,
天神橋筋六丁目,大阪市立豊崎中学校,712.8,34.71613,135.5094965,,
天神橋筋六丁目,大阪市立新豊崎中学校,740.6,34.7131775,135.5177699,,
天神橋筋六丁目,大阪市立天満中学校,784.1,34.703545,135.5068376,,
太子橋今市,大阪市立今市中学校,491.9,34.732129,135.5494258,,
太子橋今市,大阪国際滝井高等学校,759.3,34.7269214,135.5611453,,
太子橋今市,大阪府立淀川工科高等学校,778.4,34.7365682,135.5601977,,
